seq_id	pfam_id	pfam_desc	supfam_id	supfam_desc
Q14D04	PF00169	PH	SSF50729	PH domain-like
Q15276	PF03528	Rabaptin	SSF103652	G protein-binding domain
Q15345			SSF52047	RNI-like
Q15546	PF03006	HlyIII		
Q15653	PF12796	Ank_2	SSF48403	Ankyrin repeat
Q15800	PF04116	FA_hydroxylase		
Q15814	PF16752	TBCC_N		
Q15825	PF02932	Neur_chan_memb	SSF63712	Nicotinic receptor ligand binding domain-like
Q16099	PF10613	Lig_chan-Glu_bd	SSF53850	Periplasmic binding protein-like II
Q16204	PF09755	DUF2046		
Q16280	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q16281	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q16322	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q16478	PF10613	Lig_chan-Glu_bd	SSF53850	Periplasmic binding protein-like II
Q16520	PF00170	bZIP_1	SSF57959	Leucine zipper domain
Q16635	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q18PE1	PF02174	IRS	SSF50729	PH domain-like
Q2M3C6			SSF81324	Voltage-gated potassium channels
Q2MV58	PF07773	TCTN_DUF1619		
Q2NL67	PF00644	PARP	SSF56399	ADP-ribosylation
Q2VPK5	PF10288	CTU2	SSF52402	Adenine nucleotide alpha hydrolases-like
Q2YD98	PF09740	DUF2043		
Q32NB8			SSF56024	Phospholipase D/nuclease
Q32P44	PF00400	WD40	SSF50998	Quinoprotein alcohol dehydrogenase-like
Q53EU6	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q53EZ4	PF12180	EABR		
Q56P03	PF10238	Eapp_C		
Q5BKX5				
Q5EB52	PF00561	Abhydrolase_1	SSF53474	alpha/beta-Hydrolases
Q5H8A4	PF19316	PIGO_PIGG	SSF53649	Alkaline phosphatase-like
Q5HYJ3	PF16046	FAM76		
Q5JSH3	PF00400	WD40	SSF50978	WD40 repeat-like
Q5JXC2	PF15734	MIIP		
Q5MJ70	PF11357	Spy1		
Q5NDL2	PF04577	Glyco_transf_61		
Q5SNT2	PF09779	Ima1_N		
Q5SY16	PF16575	CLP1_P		
Q5T0J7	PF15079	Tsc35		
Q5T4B2	PF01755	Glyco_transf_25	SSF53448	Nucleotide-diphospho-sugar transferases
Q5T6F0			SSF50978	WD40 repeat-like
Q5T7W7	PF17773	UPF0176_N	SSF52821	Rhodanese/Cell cycle control phosphatase
Q5U651	PF00788	RA	SSF54236	Ubiquitin-like
Q5VTY9	PF03062	MBOAT		
Q5VWP2	PF07984	NTP_transf_7		
Q643R3	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q64LD2	PF00400	WD40	SSF50978	WD40 repeat-like
Q676U5	PF00400	WD40	SSF50978	WD40 repeat-like
Q68D85	PF07654	C1-set	SSF47836	Retroviral matrix proteins
Q6AI14	PF16644	NEXCaM_BD		
Q6IA86	PF00400	WD40	SSF50978	WD40 repeat-like
Q6L9W6	PF07691	PA14	SSF53448	Nucleotide-diphospho-sugar transferases
Q6NTE8	PF15749	MRNIP		
Q6NUI2			SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q6NUJ5	PF00855	PWWP	SSF63748	Tudor/PWWP/MBT
Q6NUS6	PF07773	TCTN_DUF1619		
Q6NVU6	PF07910	Peptidase_C78		
Q6P050	PF12937	F-box-like	SSF81383	F-box domain
Q6P1M3	PF00400	WD40	SSF50978	WD40 repeat-like
Q6P4F1	PF00852	Glyco_transf_10	SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase
Q6P5X5	PF11326	DUF3128		
Q6PI77	PF04826	Arm_2	SSF48371	ARM repeat
Q6PI78	PF10507	TMEM65		
Q6QHC5	PF08557	Lipid_DES		
Q6QNK2	PF13385	Laminin_G_3	SSF81321	Family A G protein-coupled receptor-like
Q6RVD6				
Q6UWP7	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q6UX65	PF10277	Frag1		
Q6UXH1	PF07645	EGF_CA	SSF57184	Growth factor receptor domain
Q6W0C5	PF15549	PGC7_Stella		
Q6ZMG9	PF03798	TRAM_LAG1_CLN8	SSF46689	Homeodomain-like
Q6ZNB7	PF04116	FA_hydroxylase		
Q6ZNE5	PF10186	ATG14		
Q6ZV65	PF14642	FAM47		
Q7KZN9	PF02628	COX15-CtaA	SSF50494	Trypsin-like serine proteases
Q7L190	PF14049	Dppa2_A		
Q7L592	PF02636	Methyltransf_28	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q7L5D6	PF04190	GET4		
Q7L8W6	PF01902	Diphthami_syn_2	SSF52402	Adenine nucleotide alpha hydrolases-like
Q7RTU7	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q7Z624	PF10294	Methyltransf_16	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q7Z698	PF00568	WH1	SSF50729	PH domain-like
Q7Z699	PF00568	WH1	SSF50729	PH domain-like
Q7Z6I5				
Q7Z6J8	PF09814	HECT_2		
Q86SQ7	PF15964	CCCAP		
Q86T03	PF09788	Tmemb_55A		
Q86TG1	PF10277	Frag1		
Q86UD0	PF11414	Suppressor_APC		
Q86UE6	PF13855	LRR_8	SSF52058	L domain-like
Q86UL3	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q86UT8	PF14968	CCDC84		
Q86UU5	PF15685	GGN		
Q86V20	PF15793	FAM35_C		
Q86WR0	PF05670	NFACT-R_1		
Q86X95	PF10197	Cir_N		
Q86XQ3	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q86YD7	PF15288	zf-CCHC_6		
Q86YS3	PF09457	RBD-FIP	SSF144270	Eferin C-derminal domain-like
Q86Z20				
Q8IU89	PF03798	TRAM_LAG1_CLN8	SSF46689	Homeodomain-like
Q8IUW3				
Q8IUW5	PF12606	RELT		
Q8IV63	PF13240	zinc_ribbon_2	SSF56112	Protein kinase-like (PK-like)
Q8IV77	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q8IVB4	PF00999	Na_H_Exchanger		
Q8IVJ1	PF01769	MgtE	SSF161093	MgtE membrane domain-like
Q8IVS8	PF05161	MOFRL	SSF82544	GckA/TtuD-like
Q8IWB1	PF20266	Mab-21_C		
Q8IWZ6			SSF50978	WD40 repeat-like
Q8IY49	PF03006	HlyIII		
Q8IYB1	PF20266	Mab-21_C		
Q8IYX7				
Q8IZP1	PF00566	RabGAP-TBC	SSF47923	Ypt/Rab-GAP domain of gyp1p
Q8N187	PF15299	ALS2CR8		
Q8N1L9	PF00170	bZIP_1	SSF57959	Leucine zipper domain
Q8N2H9	PF04710	Pellino		
Q8N2M4	PF07947	YhhN		
Q8N2U9	PF04193	PQ-loop		
Q8N302	PF17780	OCRE	SSF49879	SMAD/FHA domain
Q8N3A8	PF00644	PARP	SSF56399	ADP-ribosylation
Q8N4L2	PF09788	Tmemb_55A		
Q8N5B7	PF03798	TRAM_LAG1_CLN8	SSF46689	Homeodomain-like
Q8N5D0	PF00400	WD40	SSF50978	WD40 repeat-like
Q8N5Z5	PF02214	BTB_2	SSF54695	POZ domain
Q8N635			SSF50249	Nucleic acid-binding proteins
Q8N661	PF07947	YhhN		
Q8N682	PF10277	Frag1		
Q8N7W2	PF10523	BEN		
Q8N8R7	PF14949	ARF7EP_C		
Q8N9I5	PF00487	FA_desaturase		
Q8NA29	PF13347	MFS_2	SSF103473	MFS general substrate transporter
Q8NA54	PF00240	ubiquitin	SSF54236	Ubiquitin-like
Q8NA77	PF15553	TEX19		
Q8NB91				
Q8NBD8	PF06541	ABC_trans_CmpB		
Q8NBJ5	PF01755	Glyco_transf_25	SSF53448	Nucleotide-diphospho-sugar transferases
Q8NBJ9	PF13965	SID-1_RNA_chan		
Q8NBT0	PF00400	WD40	SSF50978	WD40 repeat-like
Q8NC06	PF00887	ACBP	SSF47027	Acyl-CoA binding protein
Q8NC24	PF12606	RELT		
Q8NC60	PF01926	MMR_HSR1	SSF52540	P-loop containing nucleoside triphosphate hydrolases
Q8NCM2	PF13426	PAS_9	SSF81324	Voltage-gated potassium channels
Q8NCR0	PF01762	Galactosyl_T		
Q8ND04	PF10220	Smg8_Smg9		
Q8NDZ4	PF12260	PIP49_C		
Q8NEC5	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q8NEK8	PF07984	NTP_transf_7		
Q8NF37	PF13833	EF-hand_8	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q8NFG4	PF16692	Folliculin_C		
Q8NFW8	PF02348	CTP_transf_3	SSF53448	Nucleotide-diphospho-sugar transferases
Q8NHV4	PF00400	WD40	SSF50978	WD40 repeat-like
Q8NHY0	PF00535	Glycos_transf_2	SSF53448	Nucleotide-diphospho-sugar transferases
Q8NI38	PF13857	Ank_5	SSF48403	Ankyrin repeat
Q8TAK6	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q8TBF2	PF13911	AhpC-TSA_2	SSF52833	Thioredoxin-like
Q8TCJ0			SSF81383	F-box domain
Q8TCT0	PF00781	DAGK_cat	SSF111331	NAD kinase/diacylglycerol kinase-like
Q8TEL6	PF12463	DUF3689	SSF48371	ARM repeat
Q8WTS6	PF00856	SET	SSF82199	SET domain
Q8WUH2	PF10367	Vps39_2		
Q8WUM9	PF01384	PHO4		
Q8WW34	PF15841	TMEM239		
Q8WWF3	PF15468	DUF4636		
Q8WWL2	PF16474	KIND	SSF57903	FYVE/PHD zinc finger
Q8WXE9	PF12016	Stonin2_N	SSF49447	Second domain of Mu2 adaptin subunit (ap50) of ap2 adaptor
Q8WYK2	PF00170	bZIP_1	SSF57959	Leucine zipper domain
Q92581	PF00999	Na_H_Exchanger		
Q92597	PF03096	Ndr	SSF53474	alpha/beta-Hydrolases
Q92604	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q92796	PF00018	SH3_1	SSF50044	SH3-domain
Q92903	PF01148	CTP_transf_1		
Q969P5			SSF81383	F-box domain
Q969R8	PF15907	Itfg2	SSF50978	WD40 repeat-like
Q969X2	PF00777	Glyco_transf_29		
Q969Z4	PF12606	RELT	SSF57586	TNF receptor-like
Q96A09	PF07984	NTP_transf_7		
Q96A25	PF07092	DUF1356		
Q96A70	PF00278	Orn_DAP_Arg_deC	SSF51419	PLP-binding barrel
Q96AB6	PF14736	N_Asn_amidohyd		
Q96B21	PF04819	DUF716		
Q96CP7	PF03798	TRAM_LAG1_CLN8		
Q96D03	PF07809	RTP801_C		
Q96D09	PF04826	Arm_2	SSF48371	ARM repeat
Q96D96	PF16799	VGPC1_C	SSF81324	Voltage-gated potassium channels
Q96EN8	PF03476	MOSC_N	SSF53383	PLP-dependent transferases
Q96FA3	PF04710	Pellino		
Q96FM1	PF04080	Per1		
Q96FV3	PF00335	Tetraspanin	SSF48652	Tetraspanin
Q96G23	PF03798	TRAM_LAG1_CLN8	SSF46689	Homeodomain-like
Q96GN5	PF10497	zf-4CXXC_R1		
Q96GX1	PF07773	TCTN_DUF1619		
Q96HH6	PF01940	DUF92		
Q96HW7	PF20168	PDS5	SSF48371	ARM repeat
Q96IP4	PF07984	NTP_transf_7		
Q96IV6	PF04116	FA_hydroxylase		
Q96J01	PF00400	WD40	SSF50978	WD40 repeat-like
Q96JX3			SSF48371	ARM repeat
Q96KA5	PF05602	CLPTM1		
Q96L58	PF01762	Galactosyl_T		
Q96LL4	PF15379	DUF4606		
Q96LM6	PF15217	TSC21		
Q96LX7				
Q96MV1	PF03798	TRAM_LAG1_CLN8		
Q96N19				
Q96N64	PF00855	PWWP	SSF63748	Tudor/PWWP/MBT
Q96NL8	PF14996	RMP		
Q96NT3	PF09778	Guanylate_cyc_2		
Q96NU1	PF07647	SAM_2	SSF47769	SAM/Pointed domain
Q96P56	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q96PD6	PF03982	DAGAT		
Q96PV7	PF15914	FAM193_C		
Q96QF0	PF06428	Sec2p	SSF144284	Sec2 N-terminal region
Q96RQ1	PF13850	ERGIC_N		
Q96RS0	PF09445	Methyltransf_15	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q96S65	PF16019	CSRNP_N		
Q96T83	PF00999	Na_H_Exchanger		
Q99259	PF00282	Pyridoxal_deC	SSF53383	PLP-dependent transferases
Q99583	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q99598	PF01997	Translin	SSF74784	Translin
Q99685	PF12146	Hydrolase_4	SSF53474	alpha/beta-Hydrolases
Q9BR76	PF16300	WD40_4	SSF50978	WD40 repeat-like
Q9BRR3				
Q9BSK4	PF12796	Ank_2	SSF48452	TPR-like
Q9BT22	PF00534	Glycos_transf_1	SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase
Q9BUA3	PF18658	zf-C2H2_12		
Q9BVG9	PF03034	PSS		
Q9BVH7	PF00777	Glyco_transf_29		
Q9BVN2	PF14604	SH3_9	SSF50044	SH3-domain
Q9BVX2	PF07092	DUF1356		
Q9BW11	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q9BW60	PF01151	ELO		
Q9BWT1	PF10497	zf-4CXXC_R1		
Q9BXB1	PF01462	LRRNT	SSF52058	L domain-like
Q9BY08	PF05241	EBP		
Q9BY42	PF04641	Rtf2		
Q9BYV1	PF00202	Aminotran_3	SSF53383	PLP-dependent transferases
Q9BZM3	PF00046	Homeodomain	SSF46689	Homeodomain-like
Q9C004	PF05210	Sprouty		
Q9GZR5	PF01151	ELO		
Q9GZY0	PF03943	TAP_C	SSF46934	UBA-like
Q9H0N5	PF01329	Pterin_4a	SSF55248	PCD-like
Q9H0R3	PF05608	DUF778		
Q9H1R2	PF00782	DSPc	SSF49879	SMAD/FHA domain
Q9H252	PF13426	PAS_9	SSF81324	Voltage-gated potassium channels
Q9H2C2	PF04161	Arv1		
Q9H310	PF00909	Ammonium_transp	SSF111352	Ammonium transporter
Q9H3R1	PF00685	Sulfotransfer_1	SSF52540	P-loop containing nucleoside triphosphate hydrolases
Q9H427	PF07885	Ion_trans_2	SSF81324	Voltage-gated potassium channels
Q9H4D5	PF09162	Tap-RNA_bind	SSF54928	RNA-binding domain, RBD
Q9H4F1	PF00777	Glyco_transf_29		
Q9H4S2	PF00046	Homeodomain	SSF46689	Homeodomain-like
Q9H5F2	PF06608	DUF1143		
Q9H5J4	PF01151	ELO		
Q9H5V9				
Q9H6D3	PF09815	XK-related		
Q9H6L2	PF10149	TM231		
Q9H7D7	PF00400	WD40	SSF50978	WD40 repeat-like
Q9H8E8	PF13673	Acetyltransf_10	SSF55729	Acyl-CoA N-acyltransferases (Nat)
Q9H8H3	PF08241	Methyltransf_11	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q9H9L4	PF13891	zf-C3Hc3H		
Q9HA82	PF03798	TRAM_LAG1_CLN8	SSF46689	Homeodomain-like
Q9HAD4	PF00400	WD40	SSF50978	WD40 repeat-like
Q9HAP2	PF00010	HLH	SSF47459	HLH, helix-loop-helix DNA-binding domain
Q9HAT8	PF04710	Pellino		
Q9HB03	PF01151	ELO		
Q9HB07	PF03690	UPF0160		
Q9HBY0	PF08030	NAD_binding_6	SSF63380	Riboflavin synthase domain-like
Q9HCE7	PF00397	WW	SSF51045	WW domain
Q9HCL2	PF19277	GPAT_C	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q9HCN3	PF12036	DUF3522		
Q9HCU8	PF04081	DNA_pol_delta_4		
Q9HDC9	PF03088	Str_synth	SSF63829	Calcium-dependent phosphotriesterase
Q9NP50	PF15396	FAM60A		
Q9NP81	PF00587	tRNA-synt_2b	SSF46589	tRNA-binding arm
Q9NPC4	PF04488	Gly_transf_sug	SSF53448	Nucleotide-diphospho-sugar transferases
Q9NPH5	PF08030	NAD_binding_6	SSF63380	Riboflavin synthase domain-like
Q9NPJ1	PF00118	Cpn60_TCP1	SSF48592	GroEL equatorial domain-like
Q9NQB0	PF00505	HMG_box	SSF47095	HMG-box
Q9NQX3	PF03453	MoeA_N	SSF53218	Molybdenum cofactor biosynthesis proteins
Q9NR21	PF02825	WWE	SSF117839	WWE domain
Q9NR55	PF00170	bZIP_1	SSF57959	Leucine zipper domain
Q9NR82	PF03520	KCNQ_channel	SSF81324	Voltage-gated potassium channels
Q9NRF8	PF00117	GATase	SSF52540	P-loop containing nucleoside triphosphate hydrolases
Q9NRL3	PF00400	WD40	SSF50978	WD40 repeat-like
Q9NRR6	PF03372	Exo_endo_phos	SSF56219	DNase I-like
Q9NRZ5	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q9NRZ7	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q9NS37	PF00170	bZIP_1	SSF57959	Leucine zipper domain
Q9NSC7	PF00777	Glyco_transf_29		
Q9NTM9	PF03932	CutC	SSF110395	CutC-like
Q9NUL5	PF15135	UPF0515		
Q9NUM4	PF07092	DUF1356	SSF117070	LEA14-like
Q9NUQ2	PF01553	Acyltransferase	SSF69593	Glycerol-3-phosphate (1)-acyltransferase
Q9NV64	PF10271	Tmp39		
Q9NWN3			SSF81383	F-box domain
Q9NWW5	PF15156	CLN6		
Q9NX09	PF07809	RTP801_C		
Q9NX94	PF11669	WBP-1		
Q9NXB9	PF01151	ELO		
Q9NY30	PF07742	BTG	SSF160696	BTG domain-like
Q9NYF8	PF15440	THRAP3_BCLAF1		
Q9NYK6	PF06937	EURL		
Q9NYP7	PF01151	ELO		
Q9NYR8	PF00106	adh_short	SSF51735	NAD(P)-binding Rossmann-fold domains
Q9NYW0	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q9NYW4	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q9NYW5	PF05296	TAS2R	SSF81321	Family A G protein-coupled receptor-like
Q9NYZ2	PF00153	Mito_carr	SSF103506	Mitochondrial carrier
Q9P1Z3	PF08412	Ion_trans_N	SSF81324	Voltage-gated potassium channels
Q9P272	PF08241	Methyltransf_11	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases
Q9P2B4	PF09727	CortBP2		
Q9P2X3	PF01205	UPF0029	SSF54495	UBC-like
Q9UBD6	PF00909	Ammonium_transp	SSF111352	Ammonium transporter
Q9UBH6	PF03105	SPX		
Q9UBM8	PF04666	Glyco_transf_54		
Q9UBY0	PF16644	NEXCaM_BD		
Q9UBY8	PF03798	TRAM_LAG1_CLN8		
Q9UFW8				
Q9UJT2	PF15358	TSKS		
Q9UJT9	PF13516	LRR_6	SSF52047	RNI-like
Q9UKA2	PF00646	F-box	SSF52047	RNI-like
Q9UKN8	PF12660	zf-TFIIIC	SSF50978	WD40 repeat-like
Q9UL51	PF08412	Ion_trans_N	SSF81324	Voltage-gated potassium channels
Q9ULP0	PF03096	Ndr	SSF53474	alpha/beta-Hydrolases
Q9ULQ1	PF00520	Ion_trans	SSF81324	Voltage-gated potassium channels
Q9ULV4	PF16300	WD40_4	SSF50978	WD40 repeat-like
